sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS
CA-1-lo,"[('2013_Validation_GEO_Carroll_R0013225.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013227.png', 'SIGN')]",missed,0.2924405266214171,0.7427989327159265,1.0,0.9957239269194694,1.0,2193.485248310131,36.3971477030804,69.82309967529709,66.10910501171746,29.711957308637057,29.71195730863706,57.30163195237147,27.589674643734412,28.297102198701964,2193.485248310131,36.3971477030804,69.82309967529709,66.10910501171746,29.711957308637057,91.1204175949547,19.154085464527437,42.22756456138432
CA-1-hi,"[('2013_Validation_GEO_Carroll_R0013233.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013235.png', 'SIGN')]",missed,0.22727272727272727,0.5772727234627273,1.0,0.9901090205732372,1.0,2365.0863480267935,36.36818157815182,64.07727230436272,63.4999995809,27.131818002748183,27.131818002748183,62.98457750637971,35.852759503631525,20.348863502061135,2365.0863480267935,36.36818157815182,64.07727230436272,63.4999995809,27.131818002748183,74.58248010147285,16.645819769390926,36.69778075757713
CA-2-lo,"[('2013_Validation_GEO_Carroll_R0013239.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013242.png', 'SIGN')]",missed,0.27497802170944263,0.6984441705322527,1.0,0.9831971305726136,1.0,1915.133915599437,44.00198274353192,67.74908454162852,69.14597288269302,25.143990139161097,25.143990139161097,57.716886455801614,32.57289631664052,20.572355568404536,1915.133915599437,44.00198274353192,67.74908454162852,69.14597288269302,25.143990139161097,71.81106791192973,11.243734086713069,24.788210741620375
CA-2-hi,"[('2013_Validation_GEO_Carroll_R0013252.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013254.png', 'SIGN')]",missed,0.18605127836796895,0.4725702439356775,1.0,0.9926775796152709,1.0,2759.8102245843565,36.387908783047166,67.57754488280187,60.961561467702396,24.57365268465523,24.57365268465523,56.168348993497666,31.594696308842437,19.50289895607558,2759.8102245843565,36.387908783047166,67.57754488280187,60.961561467702396,24.57365268465523,69.23528541504552,17.808510503395873,39.26107714288584
CA-3-lo,"[('2013_Validation_GEO_Carroll_R0013260.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013262.png', 'SIGN')]",missed,0.19826717406274735,0.5035986187956274,1.0,0.9852587978834396,1.0,3056.3400174706626,37.26629779087643,69.49660939379658,65.46782044343156,28.201522652555134,28.201522652555134,72.51820110657034,44.31667845401521,35.45334276321217,3056.3400174706626,37.26629779087643,69.49660939379658,65.46782044343156,28.201522652555134,99.98882877771078,29.039030567672192,64.0201559279533
CA-3-hi,"[('2013_Validation_GEO_Carroll_R0013269.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013273.png', 'SIGN')]",missed,0.2208763840794152,0.561026011858943,1.0,0.9920348772173065,1.0,2568.9381083021,37.027716782690234,66.76209541121422,64.51799136377844,27.490274581088205,27.490274581088205,66.07311609840498,38.58284151731678,26.525703543155284,2568.9381083021,37.027716782690234,66.76209541121422,64.51799136377844,27.490274581088205,84.84810002579516,20.56862090863749,45.34608394468486
CA-4-lo,"[('2013_Validation_GEO_Carroll_R0013277.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013279.png', 'SIGN')]",missed,0.2777777777777778,0.7055555508988889,1.0,0.9932903918411164,1.0,2548.466649846787,37.394444197641114,70.55555508988888,69.84999953899,32.45555534134889,32.45555534134889,62.31466625538987,29.85911091404098,24.01711095259818,2548.466649846787,37.394444197641114,70.55555508988888,69.84999953899,32.45555534134889,88.70705677884601,20.254270393770746,44.65305912311228
CA-4-hi,"[('2013_Validation_GEO_Carroll_R0013284.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013286.png', 'SIGN')]",missed,0.2631578947368421,0.6684210482199999,1.0,0.9744068409008793,1.0,2680.3684033622,36.094736603879994,74.19473635242,66.842104822,30.747368218119995,30.74736821812,63.446950291358725,32.69958207323873,20.986298942526346,2680.3684033622,36.094736603879994,74.19473635242,66.842104822,30.747368218119995,81.26305434757305,20.765449116937855,45.78001621928485
CA-5-lo,"[('2013_Validation_GEO_Carroll_R0013290.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013292.png', 'SIGN')]",missed,0.256198078143033,0.6507431141883993,1.0,1.0,1.0,4314.426847069087,37.09235750873876,87.1995773012455,78.08917370260791,40.99681619386915,40.99681619386915,80.04140304517311,39.044586851303954,34.48938505198516,4314.426847069087,37.09235750873876,87.1995773012455,78.08917370260791,40.99681619386915,118.5734476406883,39.71143305266657,87.54879506840194
CA-5-hi,"[('2013_Validation_GEO_Carroll_R0013296.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013298.png', 'SIGN')]",missed,0.23255813953488372,0.59069767052,1.0,0.9801694609698937,1.0,4035.64648499264,37.80465091328,85.6511622254,73.24651114448,35.441860231199996,35.441860231199996,63.53601773154146,28.094157500341463,24.636415038760976,4035.64648499264,37.80465091328,85.6511622254,73.24651114448,35.441860231199996,94.37073411422737,33.708819205470945,74.31528599594117
CA-6-lo,"[('2013_Validation_GEO_Carroll_R0013302.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013305.png', 'SIGN')]",missed,0.25061850602138724,0.636571001092955,1.0,0.9946544991012433,1.0,2584.4782644373972,35.01140506011252,70.02281012022505,64.9302421114814,29.918837051368882,29.918837051368882,61.01096183024242,31.092124778873544,28.74554932386422,2584.4782644373972,35.01140506011252,70.02281012022505,64.9302421114814,29.918837051368882,92.14980263189274,23.4661523173255,51.73405244652793
CA-6-hi,"[('2013_Validation_GEO_Carroll_R0013313.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013315.png', 'SIGN')]",missed,0.2406167861195954,0.6111666327100724,1.0,0.9977732139322106,1.0,2720.3026821925323,34.83649806447413,66.6171629653979,66.6171629653979,31.780664900923767,31.78066490092377,65.46816969590297,33.6875047949792,26.695758516775967,2720.3026821925323,34.83649806447413,66.6171629653979,66.6171629653979,31.780664900923767,91.85455110862581,24.51969188989346,54.056711515841236
CA-7-lo,"[('2013_Validation_GEO_Carroll_R0013320.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013322.png', 'SIGN')]",missed,0.2550812590822781,0.6479063937928041,1.0,0.9864444898468749,1.0,2857.267196626266,37.57857083998264,75.80504807375809,68.67807774203723,31.0995069020546,31.099506902054596,77.74876725513649,46.64926035308189,36.00995536027374,2857.267196626266,37.57857083998264,75.80504807375809,68.67807774203723,31.0995069020546,105.41529681484607,27.37488503808392,60.351340054683334
